frac,large,small,frac,small_std,large_std,small_iow,large_iow,duplication,transfer,deletion,transfer_bonus,dup_bonus
0.01,0.774971713176258,0.9194879816930305,0.01,0.01680090930275065,0.0006924478956553437,-0.07051201830696952,-0.21502828682374198,0.3270070672126207,0.3279197325548522,0.0027831973852895375,0.0009126653422315001,0.32422386982733115
0.05,0.7760723838743047,0.8735909489376276,0.05,0.012960206987207878,0.0006879472319950887,-0.11640905106237243,-0.21392761612569533,0.5398594920257452,0.544151583468191,0.00788767610504737,0.0042920914424458,0.5319718159206979
0.1,0.7761528078553448,0.8500338261902696,0.1,0.004943171637551428,0.0012235372357525536,-0.13996617380973042,-0.2138471921446552,0.6491081819163854,0.6545149010656705,0.008260650965290384,0.005406719149285033,0.640847530951095
0.2,0.778106572730455,0.8155264630704503,0.2,0.0020782985817187393,0.0011448511324448675,-0.1744735369295497,-0.21189342726954496,0.8091397890380001,0.8234023073665506,0.017321445666293567,0.014262518328550522,0.7918183433717065
0.3,0.7806275955538905,0.8006226118427477,0.3,0.0014594375984305237,0.0013739685877845846,-0.18937738815725225,-0.2093724044461095,0.8782580017507187,0.9045002308601572,0.029012960101163054,0.02624222910943852,0.8492450416495556
0.4,0.7830658216127606,0.7922762861455803,0.4,0.002483544063135052,0.0013838198005692937,-0.19772371385441967,-0.20693417838723938,0.9169649846702855,0.9554908492903283,0.04032049563704054,0.038525864620042816,0.876644489033245
0.5,0.7871083497323929,0.7871083497323929,0.5,0.0014266635247500406,0.0014266635247500406,-0.20289165026760714,-0.20289165026760714,0.9409318455061312,1.0,0.05906815449386882,0.05906815449386882,0.8818636910122624
0.6,0.7922762861455803,0.7830658216127606,0.6,0.0013838198005692937,0.002483544063135052,-0.20693417838723938,-0.19772371385441967,0.9596795043629595,,0.08303501532971447,,0.876644489033245
0.7,0.8006226118427477,0.7806275955538905,0.7,0.0013739685877845846,0.0014594375984305237,-0.2093724044461095,-0.18937738815725225,0.970987039898837,,0.12174199824928134,,0.8492450416495556
0.8,0.8155264630704503,0.778106572730455,0.8,0.0011448511324448675,0.0020782985817187393,-0.21189342726954496,-0.1744735369295497,0.9826785543337064,,0.1908602109619999,,0.7918183433717065
0.9,0.8500338261902696,0.7761528078553448,0.9,0.0012235372357525536,0.004943171637551428,-0.2138471921446552,-0.13996617380973042,0.9917393490347096,,0.3508918180836146,,0.640847530951095
0.95,0.8735909489376276,0.7760723838743047,0.95,0.0006879472319950887,0.012960206987207878,-0.21392761612569533,-0.11640905106237243,0.9921123238949526,,0.46014050797425476,,0.5319718159206979
0.99,0.9194879816930305,0.774971713176258,0.99,0.0006924478956553437,0.01680090930275065,-0.21502828682374198,-0.07051201830696952,0.9972168026147105,,0.6729929327873794,,0.3242238698273311
