,frac,company,valid_aur,hidden_aur,len(train_y),seed
0,0.01,small,0.9306615776081424,0.9176623248327983,1280,0
1,0.01,large,0.9745094019688552,0.9720217014497914,127971,0
2,0.01,small,0.9225274725274725,0.9014454159588396,1289,1
3,0.01,large,0.9709778838888302,0.9722450414210831,127962,1
4,0.01,small,0.8705692803437165,0.923730019361828,1321,2
5,0.01,large,0.9721361897887434,0.9721672762120241,127931,2
6,0.01,small,0.9194285714285714,0.912238714238579,1248,3
7,0.01,large,0.9707821617715569,0.9722820867157284,128004,3
8,0.01,small,0.9293333333333333,0.9111781164257983,1280,4
9,0.01,large,0.9743278057027634,0.9718898851476228,127971,4
10,0.01,small,0.8029411764705883,0.90091293791747,1232,5
11,0.01,large,0.9708333842765771,0.9721033121911663,128020,5
12,0.01,small,0.8948896631823462,0.9139264756439792,1232,6
13,0.01,large,0.973472440709033,0.9719960218395471,128020,6
14,0.01,small,0.87593984962406,0.9149272967933131,1280,7
15,0.01,large,0.9709483771512385,0.971839722314966,127971,7
16,0.01,small,0.8622782446311857,0.9050044133892549,1231,8
17,0.01,large,0.9742886576782599,0.9718994562502761,128021,8
18,0.01,small,0.9504,0.907923172417176,1259,9
19,0.01,large,0.9728358551822841,0.9718309203187758,127993,9
20,0.05,small,0.9231356211846231,0.9289591314771262,6421,0
21,0.05,large,0.9673851120857769,0.9719345360506262,122831,0
22,0.05,small,0.9169615214506855,0.9366602799496252,6594,1
23,0.05,large,0.972572287233603,0.9717940032085413,122658,1
24,0.05,small,0.9583123213985544,0.941208861029384,6515,2
25,0.05,large,0.9703193137561263,0.9715148175623922,122737,2
26,0.05,small,0.9640867938323906,0.928966694357348,6388,3
27,0.05,large,0.9724749780729972,0.9720229405657599,122864,3
28,0.05,small,0.9530867272802757,0.9383250108892657,6521,4
29,0.05,large,0.97075892327673,0.9717925504518885,122731,4
30,0.05,small,0.9350382571331649,0.9329517340402503,6326,5
31,0.05,large,0.9701010090280212,0.9720164886170961,122926,5
32,0.05,small,0.9504656563480092,0.9375159963462315,6529,6
33,0.05,large,0.9736036782619113,0.9715569475053221,122723,6
34,0.05,small,0.9466839733542319,0.9380653520016552,6309,7
35,0.05,large,0.9726538707207161,0.9715593830091223,122942,7
36,0.05,small,0.935751199704688,0.9316372029101964,6438,8
37,0.05,large,0.9694196620402593,0.97159706922582,122814,8
38,0.05,small,0.9164449064449065,0.9357890959674809,6513,9
39,0.05,large,0.9688492494651582,0.9718546771628619,122739,9
40,0.1,small,0.9626611222404339,0.943201786788135,12997,0
41,0.1,large,0.9721857525235862,0.9717799029233822,116254,0
42,0.1,small,0.9371021135727019,0.9463552087436125,13097,1
43,0.1,large,0.967163921703889,0.9708406530192429,116154,1
44,0.1,small,0.9336492384620727,0.9471191023741378,13061,2
45,0.1,large,0.9691529694536883,0.9713266428477243,116190,2
46,0.1,small,0.9532252153197728,0.9434522591263241,12927,3
47,0.1,large,0.9712201532029104,0.9713735156138439,116325,3
48,0.1,small,0.9469903663944917,0.9483022444833917,13163,4
49,0.1,large,0.9701955054350159,0.9709585399487997,116089,4
50,0.1,small,0.9486652518708814,0.9457680386870805,12770,5
51,0.1,large,0.9738761570215005,0.9716475311554345,116482,5
52,0.1,small,0.9456828758967043,0.9460826032305375,12951,6
53,0.1,large,0.9712947613279563,0.97122687264819,116300,6
54,0.1,small,0.9210508695069924,0.9465103973366357,12768,7
55,0.1,large,0.9687875043101599,0.970982553161707,116484,7
56,0.1,small,0.9553533282064428,0.9447767459122633,12908,8
57,0.1,large,0.9709552536857534,0.9715167403285503,116343,8
58,0.1,small,0.9507386670264436,0.9444968338877878,12988,9
59,0.1,large,0.9695405862130748,0.9711543202718262,116263,9
60,0.2,small,0.9614096280020283,0.9535603690036081,25992,0
61,0.2,large,0.9726147640644099,0.9705380950822392,103260,0
62,0.2,small,0.9554576546878326,0.9562665555507225,26020,1
63,0.2,large,0.9687611797186264,0.9700966707004877,103231,1
64,0.2,small,0.9615669652377906,0.9560080930509436,26030,2
65,0.2,large,0.9678823217920137,0.9697878744555045,103221,2
66,0.2,small,0.9549841023441383,0.952706746285707,25902,3
67,0.2,large,0.970888669184808,0.9708999596731843,103350,3
68,0.2,small,0.9582511104472504,0.9563136419575262,26111,4
69,0.2,large,0.9663942916030736,0.9697879599117784,103140,4
70,0.2,small,0.9449205425844152,0.9548319156279954,25726,5
71,0.2,large,0.9732273523164383,0.9703890593409218,103526,5
72,0.2,small,0.9659117082533589,0.9553505924811639,25965,6
73,0.2,large,0.9651925717360054,0.9700699656149592,103287,6
74,0.2,small,0.9458022831336175,0.9547859401527498,25843,7
75,0.2,large,0.9747975810857143,0.9700063434191959,103409,7
76,0.2,small,0.9488158899923606,0.954964928317996,25931,8
77,0.2,large,0.9664087078074519,0.9700682137613486,103320,8
78,0.2,small,0.9500366657150373,0.9538351536516618,25779,9
79,0.2,large,0.9720482789918614,0.9699948068222479,103473,9
80,0.3,small,0.9541927690050911,0.9581089928115035,38812,0
81,0.3,large,0.9717896980244264,0.9695952987427415,90440,0
82,0.3,small,0.960809583585166,0.9615524106317518,39022,1
83,0.3,large,0.9702159525168375,0.9686861294469417,90230,1
84,0.3,small,0.9627281185560245,0.9599745459943183,39094,2
85,0.3,large,0.9645256578210317,0.968823799503858,90158,2
86,0.3,small,0.9564777260342279,0.9590371334000632,38897,3
87,0.3,large,0.9696922641387796,0.9695987169936895,90355,3
88,0.3,small,0.9603098099132811,0.9609169150524474,38889,4
89,0.3,large,0.9661573506165528,0.9683088399985952,90363,4
90,0.3,small,0.9613532116514425,0.9597089478956863,38419,5
91,0.3,large,0.9701631631246946,0.9691234091994191,90833,5
92,0.3,small,0.9592919365288093,0.9613932910501387,38871,6
93,0.3,large,0.9713106423777564,0.968790343372708,90380,6
94,0.3,small,0.9602097585797479,0.9598193574012952,38745,7
95,0.3,large,0.9621969020018519,0.969087517564469,90507,7
96,0.3,small,0.9611296980591896,0.960242237771656,38790,8
97,0.3,large,0.9670891445247548,0.9692283495035118,90462,8
98,0.3,small,0.95836779097013,0.9593697292172694,38754,9
99,0.3,large,0.9702732852648631,0.9691280238381984,90498,9
100,0.4,small,0.9704974585590668,0.961949141382363,51579,0
101,0.4,large,0.9679071558372819,0.9683877161392119,77673,0
102,0.4,small,0.9666911466924629,0.9640717043083035,51714,1
103,0.4,large,0.9670770004335679,0.9673610871952235,77538,1
104,0.4,small,0.9644098348835533,0.9626503101079988,51993,2
105,0.4,large,0.9656271341115633,0.968072596129976,77258,2
106,0.4,small,0.9625460475451054,0.9621268477035038,51843,3
107,0.4,large,0.9660125336193067,0.9684021155213289,77409,3
108,0.4,small,0.9579042648234354,0.9637651726545736,51820,4
109,0.4,large,0.9639896630800474,0.9671250142391516,77432,4
110,0.4,small,0.9586979075996663,0.9632192779782345,51418,5
111,0.4,large,0.969724433984517,0.967697955826114,77833,5
112,0.4,small,0.9698703199455412,0.9640552967037549,51885,6
113,0.4,large,0.9657671362533147,0.9675995529269585,77367,6
114,0.4,small,0.965804666514713,0.9629200955640417,51707,7
115,0.4,large,0.9685051033628017,0.968217017232514,77544,7
116,0.4,small,0.9592837907214613,0.962770077075577,51917,8
117,0.4,large,0.9668731905292798,0.9679185184685108,77335,8
118,0.4,small,0.9640950108515347,0.9632044513147492,51619,9
119,0.4,large,0.9668472961896881,0.9678680138107592,77633,9
120,0.5,small,0.9605207141471117,0.9643556327776425,64541,0
121,0.5,large,0.973881498304024,0.9672989177561131,64710,0
122,0.5,small,0.9599963078061933,0.9658488957041218,64561,1
123,0.5,large,0.972140943062996,0.9656785386225185,64691,1
124,0.5,small,0.9602402197663962,0.9655592416644455,64782,2
125,0.5,large,0.9644021828462475,0.9656041062081334,64470,2
126,0.5,small,0.965459129153829,0.965807833964613,64662,3
127,0.5,large,0.9647173143927802,0.9660249356279255,64590,3
128,0.5,small,0.9671820051755026,0.9663040358178007,64744,4
129,0.5,large,0.9640036485372052,0.9654790409515865,64508,4
130,0.5,small,0.964945608762882,0.9652889007426236,64459,5
131,0.5,large,0.9644020225756939,0.9654922439458716,64792,5
132,0.5,small,0.9644566529146263,0.9654197342976447,64745,6
133,0.5,large,0.9634174266504274,0.9656841360084452,64507,6
134,0.5,small,0.9634237830604612,0.96530953843272,64560,7
135,0.5,large,0.9660010003900008,0.9662146485555198,64692,7
136,0.5,small,0.9668663884165506,0.9648978101060761,64966,8
137,0.5,large,0.9664639980515978,0.9661574783084204,64286,8
138,0.5,small,0.966137757261515,0.9652123746495331,64718,9
139,0.5,large,0.9680583962197616,0.9661394897628085,64534,9
